Within Minutes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,Greater,Total Population
slum proportion,0.2938073179776448,1.2137232362822177,2.5368318793724227,4.2708795455825825,6.746588833059317,9.37834260280596,12.188845495150328,15.445817010067117,18.997695025272073,22.522630977257855,26.244218498469007,29.4570422299468,32.905540514538515,35.59208478069037,38.702116969578555,41.575445174281576,44.219063842409476,46.95089470992914,49.51584204690686,52.025452639423996,54.14349157605446,56.146043219342026,57.91432665084155,59.73470200249428,61.35230864302284,63.22854996080128,64.90857984338636,66.41332951578592,68.15431969414625,69.54042698444263,70.82047998220024,71.49835243332782,72.33854132684363,73.07468802132823,73.85299490270614,74.59606787192183,75.42213987448098,76.23350085958852,76.91842820831285,77.66100446507741,78.43051422217033,79.18888153223124,79.82514141518689,80.50650336884026,81.3186567962388,81.884796756817,82.47321751086481,83.07639346064634,83.53665915365912,84.04884729840296,84.57785247166501,85.0178392526949,85.51895745500732,85.95534264013058,86.26786668685583,86.75533303997499,87.11556271378812,87.55771841949826,87.95396882593447,88.41368827396957,88.78258437972593,89.14107392174618,89.46613093378517,89.77278815212465,90.09121312336057,90.33807198910088,90.63037355959698,90.87536480548354,91.13392120820437,91.34174262883023,91.59384048525054,91.75085942581548,91.98992988249401,92.2010415751919,92.46011302287076,92.74602711097776,92.95454467424989,93.1971112940709,93.40940612150087,93.60135133413038,93.79374800121548,93.96855400662413,94.1138772823731,94.21223839365729,94.36725289723223,94.47455211914261,94.59566962167212,94.74479023960937,94.86536357450704,94.97775757547927,95.0872877560172,95.1637425648156,95.2644671535969,95.34223962034662,95.43725392595353,95.51195293375031,95.59141187883318,95.66581821952789,95.75759682151256,95.83849093636977,95.92968525370273,95.98523658241658,96.07548492200844,96.17606338981773,96.27124833309986,96.35340430759804,96.43351227882752,96.49913064590656,96.53970210461824,96.60611613028676,96.66837845752721,96.74616959966878,96.81046429650084,96.87511718651066,96.92587328099856,96.98981313409934,97.04060820842783,97.10085334432642,97.1467320504906,97.1759949943499,2.8240050056500934,100
non proportion,0.3903746806700687,1.2019040377112296,2.6915423687739324,4.177386717491688,6.073652026488105,8.283720925100097,10.549378134437186,13.082527693914189,15.555917917751913,17.94931341800176,20.46272473323758,22.914297406249013,25.342844685712095,27.74639172827722,30.52464019976786,32.86724579092745,35.14985559406126,37.362523417273295,39.4165094165101,41.512850897385235,43.50488434397223,45.38504194793068,46.99960064684935,48.56814450411924,50.080985608221916,51.40419263723478,52.67051327710539,53.96894656110184,55.15796689500916,56.19479914608848,57.2642675012189,58.23413221916209,59.32675729879935,60.28012247928205,61.25297679623021,62.091506542112384,62.96886187684826,63.844805368500154,64.75272173370918,65.56249555992632,66.36600089894938,67.1467497749413,67.79798150424314,68.43606138593394,69.12773848885834,69.82132952842794,70.51256456478903,71.18122130998175,71.85220752361093,72.46956921661555,73.07867230305293,73.67200191982512,74.2847593429284,74.83503938941578,75.3924985202541,75.87633172886211,76.37189512918043,76.90774544540595,77.45137207280463,78.0343660153426,78.52972560495203,78.98978867607403,79.45413162008481,79.83073771520456,80.30911532999114,80.73079015736032,81.12451131600972,81.52503327336395,81.91999950557178,82.26943526041482,82.64137422621911,82.98368221812109,83.34357725688527,83.73352479633321,84.06905890620182,84.38187931274693,84.70993259963548,85.03015018086838,85.3060093003469,85.6169831775212,85.95395782431584,86.25087070214512,86.54837764175164,86.85711764229129,87.13481263081005,87.41811446990873,87.66083907168847,87.87566736,88.10856041224694,88.31154748641767,88.53926737920919,88.73031441113825,88.94887433721983,89.12270365254294,89.30040907530487,89.47786452494431,89.66795908141161,89.85905587707106,90.02404269071539,90.20267253196671,90.37083330174069,90.54712564989408,90.72070904726188,90.90899797304705,91.05967692491262,91.21844911032035,91.39097253514821,91.5533989995874,91.73524814434211,91.87902911859386,92.02475241768686,92.15158422174724,92.28980850642864,92.4256744649733,92.56148809,92.70097514920424,92.82329084961714,92.95726980198138,93.09921221067026,93.20279982435198,6.797200175648015,100
Strenth-slum,0.302345556,1.248994851,2.610553922,4.394994181,6.942649248,9.650883554,12.54306155,15.89468285,19.54978084,23.1771538,27.00689316,30.31308371,33.86179768,36.62641473,39.82682655,42.78365561,45.50409962,48.31531933,50.95480576,53.53734733,55.7169379,57.77768505,59.59735598,61.47063267,63.13524805,65.0660142,66.79486688,68.3433456,70.13493012,71.56131862,72.87857082,73.5761427,74.44074805,75.19828766,75.99921267,76.76387984,77.61395805,78.44889773,79.15372953,79.91788555,80.70975778,81.49016376,82.14491378,82.84607657,83.68183172,84.26442409,84.86994475,85.4906494,85.96429072,86.4913634,87.03574182,87.48851491,88.00419595,88.45326278,88.77486899,89.27650144,89.64719963,90.10220468,90.50997039,90.98304959,91.36266607,91.73157356,92.06607695,92.38164583,92.70932445,92.9633572,93.26415325,93.5162641,93.78233433,93.99619518,94.25561917,94.41720119,94.66321919,94.88046593,95.14706617,95.44128912,95.65586634,95.90548211,96.12394637,96.32146964,96.51945748,96.69934347,96.84888993,96.95010949,97.10962881,97.22004622,97.34468348,97.49813765,97.62221492,97.73787517,97.85058837,97.92926501,98.03291672,98.11294931,98.21072479,98.28759461,98.36936268,98.44593132,98.54037707,98.62362202,98.71746651,98.7746322,98.86750321,98.97100456,99.06895564,99.15349912,99.23593509,99.30346037,99.34521086,99.41355492,99.47762663,99.55767844,99.62384158,99.69037333,99.74260443,99.80840242,99.86067363,99.92266953,99.9698815,99.99999485,,
Strenth-non,0.418856954,1.289596607,2.887920997,4.48217459,6.51679402,8.888112581,11.31907525,14.03704688,16.69089905,19.25891998,21.95571323,24.58615602,27.19189344,29.77080658,32.75175987,35.26528518,37.71443733,40.08854444,42.29239208,44.54168551,46.67906045,48.69639694,50.42875606,52.11174303,53.7349631,55.15471313,56.51342626,57.90659502,59.18236791,60.29484887,61.4423471,62.48297448,63.65531899,64.678243,65.72207811,66.62178814,67.56315652,68.50301005,69.47716924,70.34602528,71.20815547,72.04586886,72.74461535,73.42925041,74.17139323,74.91558962,75.65725812,76.37470098,77.09464327,77.75704852,78.4105926,79.04721236,79.70467741,80.29510664,80.89323876,81.4123731,81.94409349,82.51904018,83.10233055,83.72786053,84.25936224,84.75299214,85.25121418,85.65529798,86.16857868,86.62101948,87.04346708,87.47321167,87.89699518,88.27192625,88.67100239,89.03828564,89.42443912,89.84283776,90.2028529,90.53849712,90.89048562,91.23406672,91.5300529,91.86371586,92.22527664,92.54385268,92.86306614,93.19433223,93.49228823,93.79626016,94.05669428,94.28719673,94.53708199,94.75487928,94.99921393,95.20420001,95.43870637,95.62521851,95.81588957,96.00629241,96.21025653,96.41529601,96.59232048,96.7839834,96.96441341,97.15356829,97.33981657,97.54184332,97.70351601,97.87387244,98.05898341,98.23326073,98.42837784,98.58264927,98.73900474,98.87509037,99.02339969,99.16917861,99.31490138,99.46456561,99.59580563,99.73955987,99.8918586,100.0030041,,
