Within Minutes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,Greater,Total Population
IS 3km,2.483787550058473,5.897770273838876,13.43915652929733,18.90181349560342,24.932806199910996,30.16897750088912,34.5747567551145,37.91230720548154,40.514735947877064,42.15755960251412,44.54308075070779,46.807546124854504,48.04484358357603,50.238265846560196,51.7441224455191,53.407119468067975,54.14091004808855,55.279394720759065,56.54779981276188,57.99425846375756,59.7402765587432,61.44311235189208,62.705095728372754,65.29701125496672,66.89617641530853,68.83471214553775,70.05628669745984,71.62923072294767,73.51479043770753,74.70636718128458,76.44927546420678,77.88962259145983,79.07820685081585,80.22956121890202,81.544634119035,82.637364554073,83.81396324847186,84.8945227348966,86.85535055837443,88.17695018131937,89.44770907474559,90.89460666799296,91.74691022736964,92.56446280141215,93.42050715768437,94.47045376073237,95.5182102132046,96.75516265315052,97.53795034375585,97.8041549178234,98.56729653862384,98.64846936831759,98.96312540369777,99.20207192032221,99.32165055167586,99.44886249554696,99.5237627021809,99.53319729461899,99.53319729461899,99.53650586194655,99.53650586194655,99.5644415428084,99.57551454301476,99.57609287095744,99.57609287095744,99.63428957395081,99.64363065167699,99.67374754043809,99.70862195162996,99.80029063857275,99.86585994967547,99.91792416015144,99.9305910444284,99.95162194294083,99.95162194294083,99.95162194294083,99.95162194294083,99.95162194294083,99.95162194294083,99.95905224913666,99.96990341036434,99.9759186161733,99.9759186161733,99.98582667074896,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,100.00000000000016,-1.5631940186722204e-13,100.0
IS 10km,2.4281262908023993,5.765602238679355,13.239391663181719,18.68073065254717,25.065090865106626,30.21996670915615,34.85052916701617,38.26527345632423,40.80938221039285,42.41409755259353,44.68190962923407,46.92471191233395,48.13428174409915,50.210733748117676,51.682844355171945,53.118329442790454,53.83567589991765,54.821931664395684,56.03778409464182,57.343592876828254,59.15228676669834,60.72197576493963,62.00354587347161,64.5640537339276,66.1273818732726,68.02247534538482,69.21667461803489,70.81770175396052,72.67202165867268,73.83689536879332,75.51638777426538,76.92445696580414,78.13163646607771,79.32091166638187,80.66585739098525,81.734099921637,82.88433123813039,84.10081644772802,86.01770245104633,87.30968524978111,88.84693394178522,90.26140680448233,91.09461038512605,91.89384174414428,92.74445450074045,93.78209108340225,94.80636749083725,96.07008803972653,96.87128866834131,97.13152764289049,97.89455952381348,98.00539524990278,98.36550090328649,98.61159352947305,98.72849242390592,98.8528535696127,98.92607527527353,98.93529844008945,98.93529844008945,98.95142964460769,98.97650336360945,99.0038130105841,99.03941175497117,99.08235859957003,99.08235859957003,99.16505654267006,99.19810890304774,99.26876977368698,99.37899202477138,99.53306347651358,99.653635847909,99.70453330822667,99.7433268139305,99.75360661374589,99.76413564203717,99.76413564203717,99.76413564203717,99.76413564203717,99.76413564203717,99.77505240456733,99.78876030786617,99.79868516360905,99.8026657422732,99.8123517590202,99.8352307513346,99.84292189157215,99.85601317206661,99.86191719145313,99.87371941169933,99.88548773883008,99.90283843956817,99.91365029422951,99.9327078316544,99.96211852780063,99.97369165135332,99.98844695796461,99.99202693508163,99.99202693508163,99.99202693508163,99.99202693508163,99.99656381465992,99.99656381465992,99.99656381465992,100.0000000000002,100.0000000000002,100.0000000000002,100.0000000000002,100.0000000000002,100.0000000000002,100.0000000000002,100.0000000000002,100.0000000000002,100.0000000000002,100.0000000000002,100.0000000000002,100.0000000000002,100.0000000000002,100.0000000000002,100.0000000000002,100.0000000000002,-1.9895196601282805e-13,100.0
FS 3km,0.6024782412017842,1.9791426805031858,3.9141154178619195,5.53572940605061,7.176884026062787,9.289064523556165,11.385524352123397,13.484060511985236,15.94824657827852,18.359518301004705,21.15051763964407,23.71130077314028,26.25239364911001,28.867787315844502,31.682669837735034,34.672309735209275,37.9215757935552,40.38724973799791,43.52914316753164,46.12792628270959,48.89621934510436,51.601716086386574,54.253476514638386,56.68201676396113,59.00731861946147,61.329733853116764,63.49779388886086,65.39813046363308,67.20979640246046,69.21172466916778,71.09023364328537,72.6669147819129,74.28264269654603,75.62330480355456,76.93245568120601,78.1656248691511,79.53013134106618,80.71221522871092,81.86329790609074,83.06370648352255,84.00901424053761,85.07460683006953,85.87948896724765,86.81354373599494,87.5907154125334,88.2426117846825,88.98378188868033,89.63721241853699,90.29620950565726,90.99657317834084,91.83376199040781,92.40421621602067,93.02353993967168,93.70136692040248,94.25626181421306,94.91858120648418,95.528839265898,96.01934812799615,96.38002716587506,96.62440853903225,96.93842805157529,97.21432279383637,97.4765062540284,97.68357603402471,97.87603070597571,98.03682568140934,98.21238818550363,98.35305352023025,98.49541694782842,98.62150623486676,98.73018889400518,98.81446423310956,98.88786904795165,98.96945931581402,99.03396522348771,99.08800758895838,99.1162075304112,99.1638625422508,99.21321164634641,99.24923407014586,99.2932489588642,99.32931828653939,99.36107150302256,99.38867628743901,99.39800874356477,99.43091469361104,99.46346987740058,99.48069936025007,99.49215018345905,99.50650769552912,99.51394293175107,99.51628686912318,99.52004946866994,99.52400674139126,99.5272744986662,99.53368979984191,99.53960600137253,99.54176601990761,99.54532141158364,99.54872980077594,99.550839538693,99.55363060587429,99.55545990294411,99.55872176438925,99.56640597583454,99.57815419633313,99.5908232462676,99.60087137893792,99.61156598565279,99.62735333712263,99.64432255235029,99.6622089719,99.67220033994442,99.68489720964821,99.69499006309144,99.70970700417969,99.72345792834037,99.7314994977319,99.7404816201932,99.74935682766397,0.2506431723360265,100.0
FS 5km,0.5683081795755003,1.854727008857816,3.737339515506165,5.340587205193086,6.883178024856147,8.89732917201027,10.863755227541507,12.876371005551832,15.243407066080659,17.495026132274752,20.238125743009043,22.816819417120588,25.26075043309155,27.84217911419961,30.51262889563145,33.348924277173516,36.361212280399236,38.683961834966716,41.662503963151245,44.110150133530766,46.73168816545089,49.273773616010466,51.79772520399568,54.0536004208599,56.29080391066098,58.490868781836724,60.619903782023776,62.42152228567414,64.21993075509678,66.10701995669982,67.8252977599101,69.34142405204537,70.88443683563989,72.08450098615872,73.3111756115859,74.46713540493971,75.76561163630265,76.90867825553987,78.07719822235167,79.2635188872528,80.17486864326119,81.22455162693157,82.01159418193002,82.91770525217458,83.65364847914144,84.28400820179954,85.01470215860685,85.65560835544326,86.28520696007779,86.94857170228015,87.74840280916118,88.30670228243575,88.90071793421478,89.55563624292935,90.09827365898697,90.74828196199064,91.33129596499815,91.82833288207594,92.20477103267001,92.48612499960096,92.85783002343048,93.16630964154436,93.48185720870723,93.7643000083874,94.03253984510377,94.29644704668473,94.57810888541842,94.80321945450858,95.01890820936035,95.24119136333049,95.46409647293017,95.63246118450586,95.81873291988248,95.99809939194898,96.12225641536853,96.23613898952931,96.32922748456367,96.44263228149393,96.54053302429115,96.62495755114924,96.72187521214994,96.81761711698574,96.90552837419423,96.98109052390666,97.04583972904668,97.12865614447446,97.20796879402597,97.26483255053282,97.31533315190582,97.3707326644551,97.41889857544274,97.4624013617648,97.52047164736258,97.5763180475609,97.61945048494339,97.67116769479652,97.70314236680075,97.73835950961734,97.77321735082876,97.8117293533325,97.84903560975545,97.87965907756538,97.90607185494103,97.93785119147019,97.96797565104784,97.99920497928059,98.02513979592679,98.05576053162885,98.08574152894985,98.12163304583648,98.15601591129514,98.19049589337068,98.2254190703263,98.25409914417479,98.28744800076205,98.31581615476868,98.34479405579242,98.37409676289971,98.40103486249932,98.43505579990503,1.5649442000949705,100.0
