Within Minutes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,Greater,Total Population
IS 3km,0.0,0.024874456056232813,0.6208233961401814,1.2675382235959693,2.9643226048525,4.2198951271253415,6.670441778276341,8.539527942561085,10.728339431470465,12.532919777789985,14.916008174310194,16.875875759553605,19.401635383474094,22.12496170964601,25.35026367226126,28.44228140246431,31.858801705215285,34.68947017539597,39.39552622801514,43.615339350196,48.022817740447735,51.62182284370979,55.43939581479379,58.80160126363466,62.687620730268755,67.24165876028682,70.07273567098864,71.88616695221471,74.40746433579565,76.40092861524076,78.87982428481376,80.58404270471057,82.4777279622286,84.73937630292153,86.49207849121015,88.31806408588552,89.75222413069504,91.31696729662936,92.82975092435909,94.1025833732569,94.70747974275942,95.29810177388345,95.88435755629541,96.31250327380198,96.65243626983288,96.83479525149095,97.24576298205956,97.48361251286309,97.75692884132839,97.91646368005043,98.30246203664609,98.43365362546211,98.57223643222595,98.72149327930305,98.92885822406423,99.06787755249543,99.10281616562538,99.15144142551388,99.17938582658346,99.19601119093728,99.24888977167022,99.31636036959742,99.34765360064424,99.53193377081331,99.635751665492,99.6986856884661,99.6986856884661,99.72388804720764,99.72388804720764,99.72388804720764,99.72388804720764,99.72481700259434,99.72481700259434,99.72481700259434,99.72481700259434,99.72481700259434,99.72481700259434,99.72481700259434,99.72481700259434,99.72481700259434,99.72481700259434,99.72481700259434,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,99.73468025896935,0.2653197410306518,100.0
IS 10km,0.0,0.029994721698324286,0.6696475354530693,1.5033363269624633,3.1318934785925845,4.475129283073847,6.784507798264011,8.83242521494069,10.915157995108402,12.62470836881622,14.861410016067818,16.786573021205577,19.359841142616112,22.38858215479826,25.724293214618775,28.54966993901918,31.849700374460582,35.36411935349474,40.14816957804936,44.20220987461925,48.4188633701884,52.15198906313522,55.97662761750672,59.556095496731864,62.966753232627404,67.10103874871545,70.1007001356746,72.13252766887396,74.55157674864955,76.39501886159918,79.16961552582947,81.05394867939336,82.94811211462378,84.95375559975594,86.39566400739895,88.04131977289597,89.4236431204478,90.98889841797454,92.43495865444233,93.6525258920095,94.323649331579,94.93931049139015,95.51657526905079,96.10668614500476,96.46086930231239,96.68742195278803,97.08694903753255,97.32806275788347,97.53928027638217,97.75055128035443,98.14716409689079,98.25350987081336,98.35552926636076,98.46771016116934,98.6235967680693,98.713598761861,98.75572929026285,98.81436378400082,98.84806038147467,98.86810798274881,98.93187131929379,98.97255083813575,99.06908235810693,99.27810227697981,99.3411598935993,99.41704852811645,99.41704852811645,99.44743864940733,99.44743864940733,99.44743864940733,99.44743864940733,99.4485588249895,99.4485588249895,99.4485588249895,99.4485588249895,99.4485588249895,99.4485588249895,99.4485588249895,99.4485588249895,99.52778568076751,99.57469465380055,99.57469465380055,99.5806414296685,99.5806414296685,99.5806414296685,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,99.64564889210891,0.35435110789109103,100.0
FS 3km,0.13675507449151567,0.6407016126741745,1.7968384491286535,3.3433711206685888,5.50770528334079,7.804663116154793,10.610999328130202,13.308449090050118,16.523229911546963,20.291043046108566,24.05743048230494,27.66600261204335,31.60534660609947,35.29459336619744,39.159328339799714,42.986671331870774,46.916798059942124,50.81205111739464,54.544719322775684,58.26751075288152,61.660269386384215,65.76638035969007,68.76235164120273,71.67003179451697,74.76466247407664,77.18869394791751,79.99641751762215,82.30328370439314,84.40720848822383,86.27284503157338,87.77992680372493,89.5263812058105,90.85451191824859,91.96906053251271,92.96926855427398,93.65967094662038,94.182007842755,94.68920527530555,95.14702467491223,95.6118206086049,96.0947429731044,96.54305267585444,96.93290701831131,97.37828420028555,97.66110080913505,97.99741690152624,98.22488702619533,98.34664006518268,98.43705817549073,98.59404748209224,98.67623057021069,98.7292692858874,98.81010952424113,98.88201801443394,99.03296343221614,99.09417968391539,99.16380419463232,99.27622086210866,99.320657438919,99.40742025006112,99.46742131647717,99.57185732301981,99.61702034839207,99.688529616633,99.73140761172392,99.73493490915087,99.74888342249166,99.76259687376188,99.76731225613167,99.76934244660765,99.77085707243148,99.77121324103004,99.77199878064323,99.786189011939,99.80286126764678,99.80337904520023,99.82236770602574,99.82247298427349,99.82264881261904,99.82306363626012,99.83192013483654,99.83414834214766,99.84302904120916,99.84302904120916,99.8472172012259,99.84726382444804,99.84733218694598,99.85494585478854,99.86077950030412,99.86836363540756,99.87147549637294,99.87254427566303,99.87358762413604,99.87463534776552,99.87528014283768,99.87528014283768,99.8755708201853,99.87657820987243,99.87710090951055,99.87730599699984,99.87777428010297,99.87777428010297,99.87777428010297,99.87777428010297,99.87777428010297,99.87777428010297,99.87777428010297,99.87777428010297,99.87777428010297,99.87777428010297,99.87777428010297,99.87777428010297,99.87777428010297,99.87777428010297,99.87777428010297,99.87777428010297,99.87777428010297,99.87783607980592,99.87783607980592,99.87783607980592,0.12216392019408318,100.0
FS 5km,0.1359490288340602,0.6471932035040557,1.7247913571260463,3.191222884411399,5.3003877983068985,7.461879391273139,10.215838739523193,12.997716271955953,16.13906687759947,19.796325337856167,23.729222560412353,27.33783840747897,31.15349445087181,34.99965313980527,38.82163998742267,42.634008166914086,46.59417052850721,50.41908404447359,54.20139804412608,57.955179360954915,61.4710507203983,65.45535029467503,68.44217261163614,71.40839238110252,74.421585780635,76.80227330813881,79.4132752993473,81.61843522439246,83.67688124235035,85.6104995027114,87.17931690123098,88.89275421424608,90.14914020108023,91.17213547636338,92.17928799896896,92.83323662070484,93.50806277262927,94.03674311028298,94.5908086536484,95.08164660646948,95.5576842571627,95.98577558031486,96.35590467998884,96.73451696076427,96.98040721942792,97.27006064469735,97.48914890528117,97.63179578672914,97.73492881317448,97.87163861856004,97.95446360073583,98.00790780916306,98.11144488913567,98.183565768234,98.33279573887506,98.41618579558471,98.49506497672675,98.59617218978552,98.64947746337008,98.7374812867706,98.7974865583833,98.87984234589203,98.9176784226786,98.98759053373445,99.03455786716833,99.03902118948345,99.08734478515844,99.12963680109044,99.13809416312806,99.14133285724301,99.21065039117111,99.27467798370715,99.32347069871233,99.372832986018,99.39267856159965,99.40919482244229,99.44034315629044,99.453884526174,99.47537294113009,99.49136058445866,99.52735416309551,99.54202242444524,99.57013916769314,99.59624599591244,99.62719282567315,99.63268265935838,99.6502161484494,99.6595194659329,99.67964350030918,99.70402935228933,99.7181849518789,99.72862012792504,99.73141383199591,99.74044000488877,99.75202104112813,99.77020411579277,99.79686029019211,99.81460748734868,99.82946018921636,99.83393905724785,99.8486652032317,99.84910705813348,99.8507200907762,99.85074236341644,99.85082812862255,99.85122938725716,99.85213118805703,99.85213118805703,99.85378082996472,99.8598158669026,99.86010729581128,99.86050135021884,99.86059712256589,99.8612390885534,99.8612390885534,99.86154422371189,99.86157386345585,99.86184250574843,99.86273289731847,99.86469374618717,0.13530625381282846,100.0
