Within Minutes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,Greater,Total Population
IS 3km,0.019215546724005304,0.40545759841909984,0.879301423258345,1.711785379226453,3.167951746745437,4.7012960214395765,6.235578431215015,8.262132515894947,10.442054842990567,12.560722862554083,14.680702611295358,17.149558002748954,19.640459253015266,22.21688194106843,24.74124617135272,27.224622036326323,29.980173246840092,32.65574451708883,35.39760357380938,37.569323744987884,39.809283071168835,41.721956670749414,43.59877532271232,45.58497711360989,47.621530850004284,49.59437049308887,51.2266372289243,52.833717547794976,55.03152559973068,56.590188668015294,58.03992425354034,59.93132135327763,61.30966633379757,62.87195773247362,64.52470854274081,65.86087680750722,67.2628736692636,68.80116421146582,70.17745952231338,71.67018571100469,73.16044537631467,74.58736733112822,76.01811052550903,78.06646704051542,79.42832359116193,80.47265170994952,82.14596760302436,83.62718378194867,84.81657647717708,86.21396801406061,87.3615938882043,88.54899089224321,89.85997821134583,91.04382610467147,92.02612113407554,92.80054304747163,94.08567238654045,94.99112564507831,95.66777478908035,96.38123002483971,96.87714594217466,97.26323227259769,97.78273399670535,98.40150495876584,98.594361341989,98.79988819124694,99.10494595841331,99.24661887581205,99.5032673535062,99.61038618467697,99.7003699345768,99.72249021588546,99.76281171767441,99.78875847377135,99.79697476937875,99.80119155330452,99.8193319999969,99.83596288941547,99.84849172945722,99.86466239608036,99.86590290135237,99.87446054401626,99.88162639397213,99.88162639397213,99.89474485891212,99.93173658877443,99.94970487648723,99.95926327463826,99.96859608762918,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,99.98606846874955,0.013931531250449325,100.0
IS 10km,0.015117454293007327,0.37551693590373936,0.7795435978202282,1.3933952224934594,2.4287459663561193,3.400347884393226,4.406297829865025,5.86374448305601,7.406504922622134,8.954235549680414,10.564305223204714,12.585449908896157,14.462772259510825,16.27265531613084,18.196348283151565,20.046200510716147,22.05282153057204,23.895117436753132,25.767606783970898,27.379366676079986,28.91208884191765,30.416691375354993,31.8177711685873,33.33332350766731,34.830797702297225,36.251863734610474,37.34347949605682,38.561465176794464,40.18188116650838,41.36200715933808,42.537661247792386,43.88762824486908,44.924878841781656,46.164879373198744,47.192978889955135,48.28248420860108,49.24444760844124,50.45265607137461,51.48762591523378,52.57125902440839,53.6430548781892,54.61335467492731,55.6952055502026,57.078971408254255,58.00468754292051,58.81908956655807,60.05031476298966,61.04914585876349,61.92122913438971,62.9578967735305,63.85844593678317,64.71258387187403,65.64510486968302,66.54033746795395,67.25968980723182,67.96408956660058,68.87192100156317,69.63064526782888,70.3262692144988,70.98684784923478,71.65041041595327,72.26201349241606,72.92851078766701,73.78833470086335,74.2952730596624,74.865182895634,75.57656639568309,76.1703600148142,76.7678090738902,77.4311607531964,77.942076063359,78.4171998708588,78.98556756011162,79.54176423306801,80.07432267246362,80.6718609141265,81.4233653397652,81.96758169191077,82.51873378402973,83.18027599840822,83.74951513112012,84.19675033161002,84.86090376067578,85.41138213748955,85.94418792724005,86.56954637331805,87.076536921641,87.60145591263004,88.12977648530918,88.52648887718289,89.07823654710911,89.60106707914038,90.0532232740989,90.47862658179629,90.88794210836163,91.33798430397275,91.7247725001888,92.07132952601333,92.40043496166544,92.72008306029105,93.05772522945716,93.40458166755323,93.67481435385146,93.98609211508011,94.31287239410163,94.52965784455631,94.89671109407631,95.14421291039909,95.33888140923248,95.50738817659422,95.70555321709443,95.85899660974387,96.06219847888873,96.18834581148877,96.27706495831244,96.37209139892474,96.44818314062596,96.53553787195412,96.60883426764076,96.69893309936941,3.3010669006305875,100.0
FS 3km,0.026502450284540697,0.4236977918786585,1.14026316840505,2.2687072189746993,3.6543681701264754,5.131644135283767,6.792922581460838,9.03532644110511,11.059956318182264,13.775352097637084,16.375222974920078,19.020657450939606,21.782270490730106,24.433697107358974,27.05952008325882,29.49905641544803,31.872311372509106,34.48816657019981,37.02959319587634,39.8572578115267,42.77961412676871,45.53592997001892,48.43711614866717,50.930881160253286,53.12289989511366,55.25277766672683,57.737022097462784,59.98018831163071,62.08382933714387,64.34478693412127,66.71620473374642,69.04799290439925,71.70289785290926,73.82159686512301,76.02086221932824,77.92206814462229,79.72851583110989,81.43934336382665,82.86946533914035,84.32494166935564,85.74611578621504,86.89146539540606,87.8520318590584,88.88360381623711,90.02877589574882,91.09385094143569,92.10351500285562,93.08994482533322,93.74093865177588,94.47085927372483,95.08344897420046,95.7419607309998,96.28991973834232,96.6569095832903,97.0432075826387,97.46824019714052,97.67853603674439,97.91579114539879,98.15650440464657,98.32759624178789,98.48035417670815,98.58655222366411,98.75658335585359,98.88632274914237,98.97772801030112,99.14900219983178,99.20418603174362,99.27668294113504,99.34470498765788,99.41855854106525,99.46139176938487,99.49207661054977,99.53313330900502,99.58068741160908,99.60456097501684,99.62653214188694,99.6327761767065,99.63662626507586,99.65469591782124,99.65953275168864,99.6612561062693,99.6688510519474,99.68440213407992,99.69023843982575,99.70248468657023,99.70782190735763,99.72617779047711,99.73420000159304,99.74290851491389,99.7570649290196,99.77624812074644,99.7871723304388,99.79906471323821,99.8156131875781,99.8428562093236,99.84971149233967,99.86424952306582,99.8753767148744,99.90120044732713,99.91118206692933,99.93787272606538,99.94242923598023,99.98216129297835,99.9862240743855,99.98788846479056,99.98976646319169,99.99060761204329,99.99198155076564,99.99201500387028,99.99233074215765,99.99283637600112,99.99283637600112,99.99284208270751,99.99327165995527,99.99327165995527,99.99327165995527,99.99327165995527,99.99327165995527,99.99327165995527,99.99327165995527,0.006728340044730885,100.0
FS 5km,0.025514901440421945,0.34647022391924465,1.050890885087604,2.0233436232829187,3.3949758492674564,4.8112113801945595,6.364907573982922,8.245724223974062,10.087032769882436,12.339597915491472,14.564396292503684,17.015385044601828,19.438714071517303,21.839389807300446,24.18024299612613,26.4575478242551,28.749094684093553,31.108878137821556,33.19621009485696,35.639818769572415,38.08133739524144,40.37647803128404,42.814745659707334,45.01433721755177,47.130312769785235,49.165940274014794,51.36681536678396,53.40657393072971,55.23235305623978,57.36811861995346,59.43748704726889,61.42111173040254,63.65661620414379,65.56452947357056,67.6828524910369,69.40254563657476,70.89809153925373,72.4731860169051,73.69323425309004,74.95364611186928,76.13891057667,77.25864603394574,78.26396682783219,79.17695814354576,80.15251165430894,81.06583863381766,81.86721721457134,82.68279759534755,83.29842896197114,83.93919351528072,84.53108726034728,85.09289849434694,85.54352139970169,85.87967122217685,86.25202755158573,86.5593569552639,86.77127641979972,87.04854107150918,87.29263762794302,87.53250795053515,87.72537378763425,87.9068885681883,88.11846219531074,88.2988995475524,88.45867735725326,88.66299676539853,88.7631981856099,88.93300959079818,89.07524969737737,89.22916328922732,89.35825267392025,89.51935580375721,89.71706340633912,89.8557325853544,90.00049893087696,90.15139221275062,90.26685047538557,90.39987914938212,90.5214131919368,90.63252734308277,90.8115267430049,90.97419100872231,91.1409249939662,91.2970200446108,91.5294182508586,91.6639243370271,91.85590733434412,92.0455296881183,92.25890542284846,92.45913866546165,92.6611302097677,92.8365683817121,93.02380050544404,93.19729482950748,93.36168220593372,93.5231293323719,93.66828893623469,93.805547191191,93.95971559198365,94.12233665273195,94.30148991794128,94.43222907340176,94.63080984583071,94.80466644067856,94.9738475855179,95.08226515306818,95.22578575341645,95.34895749002487,95.48954541402081,95.58432690846537,95.65639705455055,95.73021444116516,95.80560115195385,95.86378220382484,95.91895452861705,95.99199335662362,96.06403470326458,96.14328403084914,96.21199557616167,96.27210786746699,3.7278921325330145,100.0
